Timestep,dx,dy
0,-21.456388510886296,-69.36267100271587
1,0.0,-72.58841996441673
2,21.44835743298555,-69.33670871116135
3,40.97268756189426,-59.88961135011819
4,56.84129380847469,-45.10647394655747
5,67.6183676519247,-26.28863985709623
6,72.3671182364088,-5.131902922366555
7,70.64451768077201,16.48161569298081
8,62.61863502141806,36.622371335762196
9,48.985496305179225,53.47678181160713
10,30.99416244571578,65.56452497715166
11,10.234212363378377,71.79558439411325
12,-11.43601620823676,71.58886152371707
13,-32.08119872609931,65.0118777553265
14,-49.85634772333853,52.62302150013936
15,-63.180754383504954,35.53913442454376
16,-70.84998492072202,15.278178074651331
17,-72.17308629374227,-6.33938570631415
18,-67.05445414720201,-27.375987550431308
19,-55.96940930676019,-45.96922597991979
20,-39.884783823906545,-60.456170360525064
21,-20.235874720325025,-69.53760888740183
22,1.2176990394394667,-72.41192501600342
23,22.56249937062453,-68.81789954382889
24,41.881645627200264,-59.06217323906978
25,57.46512993377002,-44.04737665127404
26,67.91542532894898,-25.097959091372907
27,72.28704036167095,-3.905967309290849
28,70.21273961485375,17.630768010720335
29,61.86566353702303,37.59206435922322
30,47.98253683622253,54.18345772282489
31,29.82716165658168,65.94324347158506
32,9.007414958938863,71.81251567657331
33,-12.613307088113416,71.24648446976497
34,-33.104728324220304,64.33687921852504
35,-50.63900277332174,51.68025215808284
36,-63.64984592035382,34.407182089132654
37,-70.96823964301238,14.059274138739433
38,-71.95334849896881,-7.541211250336785
39,-66.47359583265258,-28.45201914575508
40,-55.08047372965467,-46.81191809302246
41,-38.78651868319972,-60.998526459815565
42,-19.027879438770814,-69.73631812688869
43,2.430183722338038,-72.2364527299369
44,23.668974624461708,-68.29195074205533
45,42.79348651553456,-58.247132184971015
46,58.083852992605564,-42.99073633238129
47,68.15898125546384,-23.893301405568273
48,72.17181751232336,-2.6836415192058056
49,69.74144105239756,18.764449759336554
50,61.081269370792405,38.5363686261226
51,46.96488981165897,54.8659484545236
52,28.647154489718144,66.28035209481565
53,7.7804886449999735,71.78585188333102
54,-13.776849968260102,70.85663912571606
55,-34.10109611764744,63.6205953038391
56,-51.37919291247616,50.701513181585256
57,-64.0587913787842,33.24877153737515
58,-71.0101405640055,12.830704342504438
59,-71.61541977606856,-8.72547708560446
60,-65.8382689045692,-29.499570297269706
61,-54.1651992993342,-47.625557233457556
62,-37.67167681542179,-61.505343530853864
63,-17.813055637305126,-69.89104066900283
64,3.636066631327792,-72.01998928302136
65,24.751404421133838,-67.71340448712915
66,43.65659908839333,-57.374545959784115
67,58.66207977940577,-41.91059011766259
68,68.41215745546275,-22.697811785414117
69,72.0642923465957,-1.4668729125248205
70,69.27913862797327,19.895097348924292
71,59.76177513176557,39.12394941828941
72,45.52629383411956,55.03203838714146
73,27.229850357225878,66.02805410458112
74,6.500175436312829,71.11646189115264
75,-14.806496735069157,69.86108421040285
76,-34.79054865057426,62.36522394099645
77,-51.666864470117225,49.29846395624461
78,-63.92045682318991,31.82429673836476
79,-70.47026755374445,11.51312530464475
80,-70.72233627164147,-9.826084335487774
81,-64.65738240059058,-30.28595363400564
82,-52.81944542177483,-48.040839623735664
83,-36.263304693009246,-61.5043804875662
84,-16.46787095724854,-69.47391821793809
85,4.79787331872567,-71.2269383421802
86,25.62837564588063,-66.61688836927696
87,44.17035902955194,-56.06784138391236
88,58.75842173691142,-40.50468987886278
89,68.10401865245767,-21.33130728720797
90,71.36608641265593,-0.252462545578904
91,68.26410883046637,20.85225572989834
92,59.052931140731324,40.09434432848202
93,44.560460388679466,55.74707976762351
94,26.095845247847354,66.42573592719357
95,5.299383303692571,71.16026925001398
96,-15.966603234960234,69.54807663962605
97,-35.806340659189466,61.72336147466384
98,-52.441336252062335,48.37929971197668
99,-64.39618270911485,30.721035806388933
100,-70.59870995277129,10.31855326717883
101,-70.49556685756971,-11.005764525413088
102,-64.08553975786612,-31.342660599781148
103,-51.96086501823567,-48.88135929049851
104,-35.184975596604346,-62.03651969114266
105,-15.279802658689645,-69.66068947138572
106,5.988747613202115,-71.06440588219843
107,26.719268652552532,-66.11327922548165
108,45.06370224630643,-55.26434426581046
109,59.37490291248147,-39.47360673463669
110,68.39391900886699,-20.16576192061501
111,71.27997221895377,0.9464495931838781
112,67.81306815405942,21.967685283330695
113,58.239310867125525,40.98929618843481
114,43.5249734923855,56.36946349565571
115,24.92267986387581,66.71431451123274
116,4.093635767460315,71.09140911581672
117,-17.095213031027637,69.11410233656355
118,-36.75629460363074,60.97524298743139
119,-53.12800620660913,47.384260094171175
120,-64.74638258738322,29.562149964344794
121,-70.58272453442254,9.10689497363535
122,-70.12152373428688,-12.158472270184328
123,-63.38991170982987,-32.334360000523795
124,-50.62827464034788,-49.25837524175831
125,-33.80067641948305,-62.00254478897805
126,-13.968014691091543,-69.22207633633418
127,7.1123681893980235,-70.25820596529822
128,27.552658238101948,-65.00713412011693
129,45.52710168838947,-53.95435183705079
