Timestep,dx,dy
0,0.0,0.0
1,6.465946508479448,-2.6039680934887066
2,0.0,0.0
3,0.0,0.0
4,3.6965611667074683,-0.12408723716337278
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,2.5291940213698183,-1.7736680949316685
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,2.284039287745898,-2.538339281138491
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.7938512706715528,-0.4018490156933119
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,1.5326118240196251,-0.3736706575243609
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,3.6767263046186827,-1.1379882083949688
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,1.869214187017576,-0.6150242752259949
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,3.935649926371454,-1.6982331339744583
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,-0.502427034784958,-1.3373415300131697
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,1.7447083653959083,-1.2988347669153022
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,-0.27710824263387224,-1.5865730740759254
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,4.003963016896606,-1.4523266717333172
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.40931761885509843,-1.3933486802792494
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,-0.8825447021241217,1.1428919032491436
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,-0.04297003418365364,0.23802918157551645
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,1.896207074513967,-1.2640050941027603
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,1.923199328827252,-1.9129863482092446
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,1.8747214458233685,-1.1449909237073896
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,-0.38893667346293626,0.40640042404191945
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,4.441377429426296,-2.6267229582491503
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,-3.2420662913267506,0.22857539503258195
101,0.0,0.0
102,0.0,0.0
103,2.936861938615465,-2.034099884436724
104,0.0,0.0
105,2.207464740614995,-1.989295822319015
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,2.377695484904052,-1.8084979881015428
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,1.7904318131385821,-1.801847251576838
116,5.2104319285550815,-5.513356367689504
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,3.2343507596966248,-1.4344751493045038
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,-1.138714356386572,1.4381527198707111
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,2.9704659910958497,-2.3451141391547026
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,4.301998540012875,-2.853551416844624
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.8759334580055622,-1.480858352282688
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,3.368767387102878,-2.6785301860392963
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,1.33428599849843,-0.773420047462281
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,98.67222388649814,-35.39666342288923
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.5977316169524016,0.9342665529498362
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.597732250138705,0.9342669881798216
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.566881805442776,0.9802975647637879
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.5977323940129509,0.9342667480391142
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,-0.08043172299601054,-0.05390669087379507
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,-0.049581659635578035,-0.09993736005702303
187,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,-0.04021628239812003,-0.02695338047393747
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,1.859301481648501,1.312839608451899
197,0.0,0.0
198,0.0,0.0
199,0.0,0.0
200,0.0,0.0
201,1.859301877435371,1.3128403890552143
202,0.0,0.0
203,0.0,0.0
204,0.0,0.0
205,0.0,0.0
206,1.8284511305406426,1.3588707579160086
207,0.0,0.0
208,0.0,0.0
209,0.0,0.0
210,0.0,0.0
211,1.8593008773063247,1.312839871118321
212,0.0,0.0
213,0.0,0.0
214,1.780520697910859,0.1260175555938048
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,-0.41428003200749686,-0.07753542749817655
219,0.0,0.0
220,0.0,0.0
221,0.0,0.0
222,0.0,0.0
223,-0.9607793378783924,-2.0447801802069066
224,0.0,0.0
225,0.0,0.0
226,0.0,0.0
227,0.0,0.0
228,3.2977015665828446,-2.6594527058157347
229,0.0,0.0
230,0.0,0.0
231,-0.7685082215402872,0.8857844850356678
232,-2.3451943600747427,0.6295508543149531
233,0.0,0.0
234,0.0,0.0
235,0.0,0.0
