Timestep,dx,dy
0,0.13490236851694348,0.13490236851694348
1,0.1517932634520247,0.1517932634520247
2,0.15583049354666612,0.15583049354666612
3,0.14387129649633668,0.14387129649633668
4,0.11779768505993449,0.11779768505993449
5,0.08035111503469006,0.0803511150346905
6,0.034827798896551965,0.03482779889655152
7,-0.014006452522531632,-0.014006452522531632
8,-0.061498450102068336,-0.06149845010206789
9,-0.10287201053389206,-0.1028720105338925
10,-0.13429746649593932,-0.13429746649593977
11,-0.15235468930232532,-0.15235468930232532
12,-0.1558415016092325,-0.15584150160923205
13,-0.14406627995261934,-0.14406627995261934
14,-0.11779582513382225,-0.11779582513382225
15,-0.08017330214222218,-0.08017330214222218
16,-0.034825136779864874,-0.034825136779864874
17,0.014023870359320956,0.014023870359320956
18,0.0615059192364118,0.0615059192364118
19,0.10269398789874495,0.10269398789874495
20,0.13438928419126528,0.13438928419126528
21,0.1526188715353145,0.1526188715353145
22,0.1557880108695806,0.1557880108695806
